,timeframe,usecase,time_req,distance,consumption,speed_avg,dtime_idle,dtime_active,energy_req,dtime_patience
0,A,taxi,2018-01-01 07:30:00+01:00,21.75685647138088,300,25,0 days 01:56:49.538875412,0 days 00:52:12.987331878,6527.056941414264,0 days 01:00:00
1,A,taxi,2018-01-01 08:00:00+01:00,18.008671612347896,300,25,0 days 01:03:17.433288064,0 days 00:43:13.248712178,5402.601483704369,0 days 01:00:00
2,A,taxi,2018-01-01 13:30:00+01:00,28.763265007022834,300,25,0 days 01:31:23.256991153,0 days 01:09:01.910161011,8628.979502106851,0 days 01:00:00
3,A,taxi,2018-01-02 06:30:00+01:00,29.35202382247505,300,25,0 days 02:09:08.841477362,0 days 01:10:26.691430436,8805.607146742515,0 days 01:00:00
4,A,taxi,2018-01-02 08:15:00+01:00,27.48441787792932,300,25,0 days 01:24:42.302856434,0 days 01:05:57.756174421,8245.325363378795,0 days 01:00:00
5,A,taxi,2018-01-02 07:30:00+01:00,44.5993146943986,300,25,0 days 01:06:38.422553263,0 days 01:47:02.301315993,13379.79440831958,0 days 01:00:00
6,A,taxi,2018-01-02 07:30:00+01:00,23.857071277489016,300,25,0 days 01:41:51.559377738,0 days 00:57:15.418263960,7157.121383246705,0 days 01:00:00
7,A,taxi,2018-01-03 08:00:00+01:00,36.82343646764057,300,25,0 days 01:19:31.465775640,0 days 01:28:22.574851341,11047.03094029217,0 days 01:00:00
8,A,taxi,2018-01-03 11:30:00+01:00,28.99517523295531,300,25,0 days 02:06:52.646517558,0 days 01:09:35.305233544,8698.552569886593,0 days 01:00:00
9,A,dummy,2018-01-03 00:00:00+01:00,21.019557286313237,300,25,0 days 01:37:30.014686754,0 days 00:50:26.816249230,6305.8671858939715,0 days 01:00:00
10,A,taxi,2018-01-04 11:45:00+01:00,26.577098683184097,300,25,0 days 01:00:22.966083712,0 days 01:03:47.102210377,7973.129604955229,0 days 01:00:00
11,A,taxi,2018-01-04 09:45:00+01:00,44.02615822426764,300,25,0 days 01:18:52.406615736,0 days 01:45:39.766784295,13207.847467280291,0 days 01:00:00
12,A,taxi,2018-01-04 11:45:00+01:00,26.35334144797769,300,25,0 days 01:15:51.277989603,0 days 01:03:14.881168508,7906.002434393307,0 days 01:00:00
13,A,taxi,2018-01-05 11:45:00+01:00,26.093818107632238,300,25,0 days 00:47:10.124255936,0 days 01:02:37.509807498,7828.145432289672,0 days 01:00:00
14,A,taxi,2018-01-05 07:15:00+01:00,65.22981593009496,300,25,0 days 01:03:16.551191325,0 days 02:36:33.093493934,19568.944779028487,0 days 01:00:00
15,A,taxi,2018-01-05 07:30:00+01:00,15.292271006699213,300,25,0 days 01:25:52.705708600,0 days 00:36:42.087024964,4587.681302009764,0 days 01:00:00
16,A,taxi,2018-01-05 11:45:00+01:00,23.119137707069626,300,25,0 days 02:35:20.177418235,0 days 00:55:29.155829818,6935.741312120888,0 days 01:00:00
17,A,taxi,2018-01-06 09:00:00+01:00,23.887772633144692,300,25,0 days 02:31:56.718339693,0 days 00:57:19.839259173,7166.331789943408,0 days 01:00:00
18,A,dummy,2018-01-06 00:30:00+01:00,37.222646325050704,300,25,0 days 00:50:15.130829374,0 days 01:29:20.061070807,11166.793897515212,0 days 01:00:00
19,A,taxi,2018-01-07 07:00:00+01:00,32.23873932426322,300,25,0 days 01:24:25.182002966,0 days 01:17:22.378462695,9671.621797278967,0 days 01:00:00
20,A,taxi,2018-01-07 05:30:00+01:00,20.638236716046197,300,25,0 days 01:06:47.577240486,0 days 00:49:31.906087111,6191.471014813859,0 days 01:00:00
21,A,taxi,2018-01-07 07:45:00+01:00,43.305923538144555,300,25,0 days 01:10:42.610320670,0 days 01:43:56.052989493,12991.777061443367,0 days 01:00:00
22,A,taxi,2018-01-07 09:15:00+01:00,35.99114314400007,300,25,0 days 01:27:34.257502353,0 days 01:26:22.724612736,10797.342943200021,0 days 01:00:00
23,A,taxi,2018-01-07 14:00:00+01:00,31.389675226101655,300,25,0 days 00:56:16.283822035,0 days 01:15:20.113232558,9416.902567830497,0 days 01:00:00
