key,bev,brs
num,5,5
type_unit,ev,mb
data_source,log,log
filename,bev_log,brs_log
filename_mapper,mtf,mtf
capex_preexisting,True,True
capex_fix_glider,25000,500
capex_fix_charger,1500,200
ccr,1,1
ls,10,10
mntex_fix_glider,500,30
opex_spec_dist,0.3,0
crev_spec_time,0.1,0.1
crev_spec_dist,0.2,0
opex_spec_ext_ac,49e-5,0
opex_spec_ext_dc,79e-5,0
invest,False,False
size_preexisting,30000,3000
size_max,None,None
capex_spec,0.3,0.3
rex,None,None
mode_scheduling,oc,oc
forecast_hours,None,None
aging,True,True
chemistry,nmc,nmc
temp_battery,pv,pv
q_loss_cal_init,0.02,0
q_loss_cyc_init,0.05,0
soc_init,0.5,1
soc_target,0.95,0.95
soc_return,0.1,0.1
dsoc_buffer,0.05,0.05
pwr_chg_max,11000,1500
pwr_dis_max,11000,1500
pwr_ext_ac_max,100000,0
pwr_ext_dc_max,11000,0
eff_storage_roundtrip,0.95,0.95
eff_chg_ac,0.95,0.95
eff_chg_dc,0.95,0.95
eff_dis_ac,0.95,0.95
eff_dis_dc,0.95,0.95
sdr,0.02,0.02
