key,bev_oc
name,bev
num,1
type_unit,ev
data_source,log
filename,bev_log
filename_mapper,mtf
capex_preexisting,True
capex_fix_glider,25000
capex_fix_charger,1500
ccr,1
ls,25
mntex_fix_glider,500
opex_spec_dist,0.3
crev_spec_time,0.1
crev_spec_dist,0.2
opex_spec_ext_ac,49e-5
opex_spec_ext_dc,79e-5
invest,False
size_preexisting,30000
size_max,None
capex_spec,0.3
rex,None
mode_scheduling,oc
forecast_hours,None
aging,True
chemistry,nmc
temp_battery,None
q_loss_cal_init,0
q_loss_cyc_init,0
soc_init,0.5
soc_target,0.95
soc_return,0.1
dsoc_buffer,0.05
pwr_chg_max,11000
pwr_dis_max,11000
pwr_ext_ac_max,11000
pwr_ext_dc_max,100000
eff_storage_roundtrip,0.95
eff_chg_ac,0.95
eff_chg_dc,0.95
eff_dis_ac,0.95
eff_dis_dc,0.95
sdr,0.02
