Latitude (decimal degrees):	48.266
Longitude (decimal degrees):	11.669
Elevation (m):	478
Radiation database:	PVGIS-SARAH2


Slope: 38 deg. (optimum)
Azimuth: 1 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	0.0
time,P,G(i),H_sun,T2m,WS10m,Int
20050101:0010,0.0,0.0,0.0,1.55,2.9,0.0
20050101:0110,0.0,0.0,0.0,1.39,2.97,0.0
20050101:0210,0.0,0.0,0.0,1.67,3.1,0.0
20050101:0310,0.0,0.0,0.0,2.09,3.24,0.0
20050101:0410,0.0,0.0,0.0,2.4,3.31,0.0
20050101:0510,0.0,0.0,0.0,2.65,3.45,0.0
20050101:0610,0.0,0.0,0.0,2.82,3.59,0.0
20050101:0710,0.0,0.0,0.0,2.59,3.38,0.0
20050101:0810,30.4,43.68,7.48,2.73,3.17,0.0
20050101:0910,43.63,57.72,13.34,3.12,3.03,0.0
20050101:1010,68.0,82.46,17.21,3.88,2.55,0.0
20050101:1110,55.97,70.55,18.71,4.27,2.9,0.0
20050101:1210,78.02,92.54,17.7,4.52,2.83,0.0
20050101:1310,102.99,116.3,14.28,4.36,2.9,0.0
20050101:1410,533.91,532.53,8.78,4.27,2.83,0.0
20050101:1510,6.74,16.49,1.62,4.11,2.76,0.0
20050101:1610,0.0,0.0,0.0,3.53,2.69,0.0
20050101:1710,0.0,0.0,0.0,3.08,2.83,0.0
20050101:1810,0.0,0.0,0.0,2.76,2.9,0.0
20050101:1910,0.0,0.0,0.0,2.88,2.83,0.0
20050101:2010,0.0,0.0,0.0,2.72,2.83,0.0
20050101:2110,0.0,0.0,0.0,3.13,3.1,0.0
20050101:2210,0.0,0.0,0.0,3.56,3.66,0.0
20050101:2310,0.0,0.0,0.0,4.43,4.21,0.0
20050102:0010,0.0,0.0,0.0,4.88,4.55,0.0
20050102:0110,0.0,0.0,0.0,5.54,4.83,0.0
20050102:0210,0.0,0.0,0.0,6.02,4.97,0.0
20050102:0310,0.0,0.0,0.0,6.19,5.17,0.0
20050102:0410,0.0,0.0,0.0,6.41,5.24,0.0
20050102:0510,0.0,0.0,0.0,6.73,5.45,0.0
20050102:0610,0.0,0.0,0.0,6.88,5.66,0.0
20050102:0710,0.0,0.0,0.0,6.88,5.79,0.0
20050102:0810,29.74,43.61,7.5,6.78,5.72,0.0
20050102:0910,23.29,36.65,13.39,6.8,5.93,0.0
20050102:1010,12.35,23.82,17.27,6.15,6.0,0.0
20050102:1110,34.43,48.56,18.8,5.5,5.59,0.0
20050102:1210,40.7,54.98,17.8,4.62,4.9,0.0
20050102:1310,42.58,56.81,14.4,4.05,4.41,0.0
20050102:1410,11.77,22.91,8.91,3.58,4.62,0.0
20050102:1510,0.0,3.67,1.75,3.11,4.34,0.0
20050102:1610,0.0,0.0,0.0,2.57,3.93,0.0
20050102:1710,0.0,0.0,0.0,2.03,3.93,0.0
20050102:1810,0.0,0.0,0.0,1.52,3.93,0.0
20050102:1910,0.0,0.0,0.0,1.3,3.72,0.0
20050102:2010,0.0,0.0,0.0,0.9,3.72,0.0
20050102:2110,0.0,0.0,0.0,0.53,4.0,0.0
20050102:2210,0.0,0.0,0.0,0.35,4.14,0.0
20050102:2310,0.0,0.0,0.0,0.34,4.41,0.0
20050103:0010,0.0,0.0,0.0,0.23,4.55,0.0
20050103:0110,0.0,0.0,0.0,0.15,4.69,0.0
20050103:0210,0.0,0.0,0.0,0.22,4.76,0.0
20050103:0310,0.0,0.0,0.0,0.09,4.76,0.0
20050103:0410,0.0,0.0,0.0,0.15,4.97,0.0
20050103:0510,0.0,0.0,0.0,0.43,5.17,0.0
20050103:0610,0.0,0.0,0.0,0.52,5.31,0.0
20050103:0710,0.0,0.0,0.0,1.0,5.24,0.0
20050103:0810,52.31,65.6,7.54,1.12,5.59,0.0
20050103:0910,37.8,51.31,13.44,1.38,5.66,0.0
20050103:1010,138.33,147.41,17.34,1.73,6.9,0.0
20050103:1110,52.99,66.89,18.89,2.27,6.9,0.0
20050103:1210,85.19,98.41,17.91,2.55,6.55,0.0
20050103:1310,27.18,40.32,14.52,2.42,4.83,0.0
20050103:1410,29.79,43.06,9.04,2.24,5.86,0.0
20050103:1510,1.87,9.16,1.89,2.03,5.52,0.0
20050103:1610,0.0,0.0,0.0,1.87,5.45,0.0
20050103:1710,0.0,0.0,0.0,1.94,5.52,0.0
20050103:1810,0.0,0.0,0.0,2.01,5.52,0.0
20050103:1910,0.0,0.0,0.0,2.63,5.31,0.0
20050103:2010,0.0,0.0,0.0,2.69,5.24,0.0
20050103:2110,0.0,0.0,0.0,2.93,5.17,0.0
20050103:2210,0.0,0.0,0.0,2.77,5.17,0.0
20050103:2310,0.0,0.0,0.0,2.67,5.1,0.0
20050104:0010,0.0,0.0,0.0,2.77,5.1,0.0
20050104:0110,0.0,0.0,0.0,2.84,5.1,0.0
20050104:0210,0.0,0.0,0.0,2.94,5.24,0.0
20050104:0310,0.0,0.0,0.0,3.03,5.31,0.0
20050104:0410,0.0,0.0,0.0,2.79,5.1,0.0
20050104:0510,0.0,0.0,0.0,2.92,5.03,0.0
20050104:0610,0.0,0.0,0.0,3.02,5.24,0.0
20050104:0710,0.0,0.0,0.0,3.23,5.24,0.0
20050104:0810,8.87,19.24,7.57,3.17,5.17,0.0
