block,key,icev,bev_grid,bev_mg,bev_mg_rh
scenario,starttime,1.1.2018,1.1.2018,1.1.2018,1.1.2018
scenario,timestep,15min,15min,15min,15min
scenario,sim_duration,50,50,50,50
scenario,sim_endtime,None,None,None,None
scenario,prj_duration,25,25,25,25
scenario,compensate_sim_prj,True,True,True,True
scenario,strategy,go,go,go,rh
scenario,len_ph,None,None,None,48
scenario,len_ch,None,None,None,12
scenario,truncate_ph,True,True,True,True
scenario,invest_max,1e6,1e6,1e6,1e6
scenario,wacc,0.09,0.09,0.09,0.09
scenario,currency,USD,USD,USD,USD
scenario,latitude,48.2652,48.2652,48.2652,48.2652
scenario,longitude,11.6686,11.6686,11.6686,11.6686
scenario,country,DE,DE,DE,DE
scenario,state,BY,BY,BY,BY
scenario,consider_holidays,True,True,True,True
scenario,temp_air,temperature_air.csv,temperature_air.csv,pv,pv
scenario,cost_eps,1.00E-8,1.00E-8,1.00E-8,1.00E-8
scenario,blocks,"{'dem': 'FixedDemand', 'grid': 'GridConnection', 'gen': 'ControllableSource', 'pv': 'PVSource', 'wind': 'WindSource', 'ess': 'StationaryBattery', 'vehicles': 'Fleet', 'brs': 'Fleet'}","{'dem': 'FixedDemand', 'grid': 'GridConnection', 'vehicles': 'Fleet', 'brs': 'Fleet'}","{'dem': 'FixedDemand', 'grid': 'GridConnection', 'gen': 'ControllableSource', 'pv': 'PVSource', 'wind': 'WindSource', 'ess': 'StationaryBattery', 'vehicles': 'Fleet', 'brs': 'Fleet'}","{'dem': 'FixedDemand', 'grid': 'GridConnection', 'gen': 'ControllableSource', 'pv': 'PVSource', 'wind': 'WindSource', 'ess': 'StationaryBattery', 'vehicles': 'Fleet', 'brs': 'Fleet'}"
core,size_acdc_preexisting,0,0,0,55000
core,capex_acdc_preexisting,True,True,True,True
core,size_acdc_max,None,None,None,None
core,invest_acdc,True,True,True,False
core,size_dcac_preexisting,0,equal,equal,equal
core,capex_dcac_preexisting,True,True,True,True
core,size_dcac_max,equal,equal,equal,equal
core,invest_dcac,equal,equal,equal,equal
core,capex_spec,0.08,0.08,0.08,0.08
core,mntex_spec,0.0024,0.0024,0.0024,0.0024
core,opex_spec,0,0,0,0
core,ls,20,20,20,20
core,ccr,1,1,1,1
core,eff_dcac,0.95,0.95,0.95,0.95
core,eff_acdc,0.95,0.95,0.95,0.95
dem,capex_metering_preexisting,True,True,True,True
dem,capex_fix_metering,300,300,300,300
dem,mntex_fix_metering,10,10,10,10
dem,load_profile,dem_timeseries,dem_timeseries,dem_timeseries,dem_timeseries
dem,consumption_yrl,10e6,10e6,10e6,10e6
dem,system,ac,ac,ac,ac
dem,crev_spec,3e-05,3e-05,3e-05,3e-05
wind,size_block_preexisting,0,0,0,10000
wind,capex_block_preexisting,True,True,True,True
wind,size_block_max,None,None,None,None
wind,invest_block,True,True,True,False
wind,system,ac,ac,ac,ac
wind,data_source,file,file,pv,pv
wind,height,50,50,50,50
wind,filename,wind_timeseries,wind_timeseries,None,None
wind,capex_spec,2.8,2.8,2.8,2.8
wind,mntex_spec,0.084,0.084,0.084,0.084
wind,opex_spec,0,0,0,0
wind,ls,20,20,20,20
wind,ccr,1,1,1,1
wind,eff_block,0.95,0.95,0.95,0.95
pv,size_block_preexisting,1000,0,0,30000
pv,capex_block_preexisting,True,True,True,True
pv,size_block_max,None,None,None,None
pv,invest_block,True,True,True,False
pv,data_source,PVGIS API,PVGIS API,PVGIS API,PVGIS API
pv,filename,None,None,None,None
pv,system,dc,dc,dc,dc
pv,capex_spec,0.5,0.5,0.5,0.5
pv,mntex_spec,0.01509,0.01509,0.01509,0.01509
pv,opex_spec,0,0,0,0
pv,ls,25,25,25,25
pv,ccr,1,1,1,1
pv,eff_block,0.95,0.95,0.95,0.95
pv,azimuth,None,None,None,None
pv,tilt,None,None,None,None
pv,trackingtype,0,0,0,0
pv,horizon_custom,None,None,None,None
pv,database,PVGIS-SARAH3,PVGIS-SARAH3,PVGIS-SARAH3,PVGIS-SARAH3
pv,type_cell,crystSi,crytSi,crystSi,crystSi
pv,mountingplace,free,free,free,free
gen,size_block_preexisting,15000,15000,15000,15000
gen,capex_block_preexisting,True,True,True,True
gen,size_block_max,None,None,None,None
gen,invest_block,True,True,True,False
gen,system,ac,ac,ac,ac
gen,capex_spec,0.261,0.261,0.261,0.261
gen,mntex_spec,0.03,0.03,0.03,0.03
gen,opex_spec,0.0009,0.0009,0.0009,0.0009
gen,ls,10,10,10,10
gen,ccr,1,1,1,1
gen,eff_block,1,1,1,1
grid,size_g2s_preexisting,43500,43500,43500,43500
grid,capex_g2s_preexisting,True,True,True,True
grid,size_g2s_max,None,None,None,None
grid,invest_g2s,True,True,True,False
grid,size_s2g_preexisting,equal,equal,equal,equal
grid,capex_s2g_preexisting,True,True,True,True
grid,size_s2g_max,equal,equal,equal,equal
grid,invest_s2g,equal,equal,equal,equal
grid,system,ac,ac,ac,ac
grid,peakshaving,True,True,True,True
grid,peak_period,year,year,year,year
grid,peak_period_start,calendar,calendar,calendar,calendar
grid,peak_period_measurement,15min,15min,15min,15min
grid,peak_power_init,0,0,0,0
grid,opex_spec_peak,0.01,0.01,0.01,0.01
grid,capex_spec,0.1,0.1,0.1,0.1
grid,mntex_spec,0,0,0,0
grid,ls,10,10,10,10
grid,ccr,1,1,1,1
grid,eff_block,1,1,1,1
grid,markets,"['dynamic', 'pv_feedin']","['dynamic', 'pv_feedin']","['dynamic', 'pv_feedin']","['dynamic', 'pv_feedin']"
dynamic,res_only,False,False,False,False
dynamic,opex_spec_g2s,grid_opex_g2s,grid_opex_g2s,grid_opex_g2s,grid_opex_g2s
dynamic,opex_spec_s2g,grid_opex_s2g,grid_opex_s2g,grid_opex_s2g,grid_opex_s2g
dynamic,pwr_g2s,None,None,None,None
dynamic,pwr_s2g,None,None,None,None
pv_feedin,res_only,True,True,True,True
pv_feedin,opex_spec_g2s,0,0,0,0
pv_feedin,opex_spec_s2g,-5e-5,-5e-5,-5e-5,-5e-5
pv_feedin,pwr_g2s,0,0,0,0
pv_feedin,pwr_s2g,1e5,1e5,1e5,1e5
ess,size_storage_preexisting,0,0,0,20000
ess,capex_storage_preexisting,True,True,True,True
ess,size_storage_max,None,None,None,None
ess,invest_storage,True,True,True,False
ess,system,dc,dc,dc,dc
ess,res_only,False,False,False,False
ess,balanced,True,True,True,True
ess,aging,True,True,True,True
ess,chemistry,lfp,lfp,lfp,lfp
ess,temp_battery,25,25,pv,pv
ess,capex_spec,0.25,0.25,0.25,0.25
ess,mntex_spec,0.00625,0.00625,0.00625,0.00625
ess,opex_spec,0,0,0,0
ess,ls,10,10,10,10
ess,eff_storage_roundtrip,0.9,0.9,0.9,0.9
ess,eff_acdc,0.95,0.95,0.95,0.95
ess,eff_dcac,0.95,0.95,0.95,0.95
ess,crate_chg,0.8,0.8,0.8,0.8
ess,crate_dis,0.8,0.8,0.8,0.8
ess,soc_init,1,1,1,1
ess,soc_min,0.1,0.1,0.1,0.1
ess,soc_max,0.9,0.9,0.9,0.9
ess,q_loss_cal_init,0,0,0,0
ess,q_loss_cyc_init,0,0,0,0
ess,sdr,0.02,0.02,0.02,0.02
ess,ccr,1,1,1,1
vehicles,system,ac,ac,ac,ac
vehicles,subfleets,['icev'],"['bev', 'icev']","['bev', 'icev']","['bev', 'icev']"
vehicles,data_source,usecases,usecases,usecases,usecases
vehicles,filename,vehicle_usecases,vehicle_usecases,vehicle_usecases,vehicle_usecases
vehicles,filename_mapper,mtf,mtf,mtf,mtf
vehicles,pwr_lim_f2s,43000,43000,43000,43000
vehicles,pwr_lim_s2f,43000,43000,43000,43000
vehicles,opex_spec_f2s,0,0,0,0
vehicles,opex_spec_s2f,0,0,0,0
bev,num,5,5,5,5
bev,type_unit,ev,ev,ev,ev
bev,size_storage_preexisting,30000,30000,30000,30000
bev,size_storage_max,None,None,None,None
bev,invest_storage,False,False,False,False
bev,capex_storage_preexisting,True,True,True,True
bev,capex_fix_glider,25000,25000,25000,25000
bev,capex_glider_preexisting,True,True,True,True
bev,capex_fix_charger,1500,1500,1500,1500
bev,capex_charger_preexisting,True,True,True,True
bev,ccr,1,1,1,1
bev,ls,10,10,10,10
bev,mntex_spec,0,0,0,0
bev,mntex_fix_glider,500,500,500,500
bev,opex_spec,0,0,0,0
bev,opex_spec_dist,0.3,0.3,0.3,0.3
bev,crev_spec_time,0.1,0.1,0.1,0.1
bev,crev_spec_dist,0.2,0.2,0.2,0.2
bev,opex_spec_ext_ac,49e-5,49e-5,49e-5,49e-5
bev,opex_spec_ext_dc,79e-5,79e-5,79e-5,79e-5
bev,capex_spec,0.3,0.3,0.3,0.3
bev,rex,mb,mb,mb,mb
bev,mode_scheduling,fcfs,fcfs,fcfs,fcfs
bev,forecast_hours,None,None,None,None
bev,aging,True,True,True,True
bev,chemistry,nmc,nmc,nmc,nmc
bev,temp_battery,None,None,None,None
bev,q_loss_cal_init,0,0,0,0
bev,q_loss_cyc_init,0,0,0,0
bev,soc_init,1,1,1,1
bev,soc_min,0.05,0.05,0.05,0.05
bev,soc_max,0.95,0.95,0.95,0.95
bev,soc_target,0.95,0.95,0.95,0.95
bev,soc_return,0.1,0.1,0.1,0.1
bev,dsoc_buffer,0.05,0.05,0.05,0.05
bev,pwr_chg_max,11000,11000,11000,11000
bev,pwr_dis_max,11000,11000,11000,11000
bev,pwr_ext_ac_max,11000,11000,11000,11000
bev,pwr_ext_dc_max,100000,100000,100000,100000
bev,eff_storage_roundtrip,0.95,0.95,0.95,0.95
bev,eff_chg_ac,0.95,0.95,0.95,0.95
bev,eff_chg_dc,0.95,0.95,0.95,0.95
bev,eff_dis_ac,0.95,0.95,0.95,0.95
bev,eff_dis_dc,0.95,0.95,0.95,0.95
bev,sdr,0.02,0.02,0.02,0.02
icev,num,5,5,5,5
icev,type_unit,icev,icev,icev,icev
icev,filename_mapper,mtf,mtf,mtf,mtf
icev,capex_fix_glider,25000,25000,25000,25000
