block,key,PV,PV&Bat,PV&Bat&EV
scenario,starttime,1.1.2018,1.1.2018,1.1.2018
scenario,timestep,15min,15min,15min
scenario,sim_duration,365,365,365
scenario,prj_duration,25,25,25
scenario,compensate_sim_prj,True,True,True
scenario,strategy,go,go,go
scenario,len_ph,None,None,None
scenario,len_ch,None,None,None
scenario,truncate_ph,True,True,True
scenario,invest_max,None,None,None
scenario,wacc,0.04,0.04,0.04
scenario,currency,EUR,EUR,EUR
scenario,latitude,48.2652,48.2652,48.2652
scenario,longitude,11.6686,11.6686,11.6686
scenario,temp_air,temperature_air.csv,temperature_air.csv,temperature_air.csv
scenario,cost_eps,1.00E-8,1.00E-8,1.00E-8
scenario,blocks,"{'pv': 'PVSource', 'grid': 'GridConnection', 'dem': 'FixedDemand' }","{'pv': 'PVSource', 'grid': 'GridConnection', 'dem': 'FixedDemand', 'ess': 'StationaryBattery' }","{'pv': 'PVSource', 'grid': 'GridConnection', 'dem': 'FixedDemand', 'ess': 'StationaryBattery', 'fleet':'Fleet'}"
core,size_preexisting_acdc,10000,10000,10000
core,capex_preexisting_acdc,True,True,True
core,size_max_acdc,None,None,None
core,invest_acdc,True,True,True
core,size_preexisting_dcac,equal,equal,equal
core,capex_preexisting_dcac,True,True,True
core,size_max_dcac,equal,equal,equal
core,invest_dcac,equal,equal,equal
core,capex_spec,0.08,0.08,0.08
core,mntex_spec,0.0024,0.0024,0.0024
core,opex_spec,0,0,0
core,ls,20,20,20
core,ccr,1,1,1
core,eff_dcac,0.95,0.95,0.95
core,eff_acdc,0.95,0.95,0.95
dem,load_profile,dem_timeseries,dem_timeseries,dem_timeseries
dem,consumption_yrl,10e6,10e6,10e6
dem,system,ac,ac,ac
dem,crev_spec,0,0,0
pv,size_preexisting,10000,10000,10000
pv,capex_preexisting,True,True,True
pv,size_max,None,None,None
pv,invest,False,False,False
pv,data_source,PVGIS API,PVGIS API,PVGIS API
pv,filename,pvgis_api_params,pvgis_api_params,pvgis_api_params
pv,system,dc,dc,dc
pv,capex_spec,0.5,0.5,0.5
pv,mntex_spec,0.01509,0.01509,0.01509
pv,opex_spec,0,0,0
pv,ls,25,25,25
pv,ccr,1,1,1
pv,eff_block,0.95,0.95,0.95
grid,size_preexisting_g2s,55000,55000,55000
grid,capex_preexisting_g2s,False,False,False
grid,size_max_g2s,None,None,None
grid,invest_g2s,True,True,True
grid,size_preexisting_s2g,equal,equal,equal
grid,capex_preexisting_s2g,False,False,False
grid,size_max_s2g,equal,equal,equal
grid,invest_s2g,equal,equal,equal
grid,system,ac,ac,ac
grid,peakshaving,False,False,False
grid,peak_period,year,year,year
grid,peak_power_init,0,0,0
grid,opex_spec_peak,0,0,0
grid,capex_spec,0,0,0
grid,mntex_spec,0,0,0
grid,ls,25,25,25
grid,ccr,1,1,1
grid,eff_block,1,1,1
grid,filename_markets,grid_markets1,grid_markets1,grid_markets1
ess,size_preexisting,0,0,0
ess,capex_preexisting,True,True,True
ess,size_max,None,None,None
ess,invest,True,True,True
ess,system,dc,dc,dc
ess,res_only,True,True,True
ess,aging,True,True,True
ess,chemistry,lfp,lfp,lfp
ess,temp_battery,25,25,25
ess,capex_spec,0.25,0.25,0.25
ess,mntex_spec,0.00625,0.00625,0.00625
ess,opex_spec,0,0,0
ess,ls,10,10,10
ess,eff_roundtrip,0.9,0.9,0.9
ess,eff_acdc,0.95,0.95,0.95
ess,eff_dcac,0.95,0.95,0.95
ess,crate_chg,0.8,0.8,0.8
ess,crate_dis,0.8,0.8,0.8
ess,soc_init,0,0,0
ess,q_loss_cal_init,0,0,0
ess,q_loss_cyc_init,0,0,0
ess,sdr,0.02,0.02,0.02
ess,ccr,1,1,1
fleet,filename,fleet_bev1.csv,fleet_bev1.csv,fleet_bev1.csv
fleet,subfleets,"['bev_oc']","['bev_oc']","['bev_oc']"
fleet,system,ac,ac,ac
fleet,rex_fleet,None,None,None
fleet,size_preexisting_f2s,None,None,None
fleet,size_preexisting_s2f,None,None,None
fleet,opex_spec_f2s,0,0,0
fleet,opex_spec_s2f,0,0,0
