,usecase,timeframe,time_req,distance,consumption,speed,subfleets,dtime_active,energy_req,dtime_idle,dtime_patience
0,goods,weekday,2018-01-01 06:00:00+01:00,6.302118321720585,300,22,"['bev', 'icev']",0 days 00:17:11.255725374,1890.6354965161756,0 days 01:48:22.419900237,0 days 01:00:00
1,taxi,weekday,2018-01-01 06:15:00+01:00,3.739164742313522,250,28,"['bev', 'icev']",0 days 00:08:00.749752584,934.7911855783805,0 days 00:31:13.030021923,0 days 01:00:00
2,goods,weekday,2018-01-01 07:00:00+01:00,9.969089559900933,300,22,"['bev', 'icev']",0 days 00:27:11.305564347,2990.7268679702797,0 days 00:31:40.297198317,0 days 01:00:00
3,goods,weekday,2018-01-01 07:15:00+01:00,6.5931955235727076,300,22,"['bev', 'icev']",0 days 00:17:58.886540221,1977.9586570718122,0 days 02:57:33.633307216,0 days 01:00:00
4,goods,weekday,2018-01-01 07:30:00+01:00,7.251760918711471,300,22,"['bev', 'icev']",0 days 00:19:46.651786698,2175.5282756134416,0 days 00:38:47.773313523,0 days 01:00:00
5,taxi,weekday,2018-01-01 10:15:00+01:00,4.5081040272748805,250,28,"['bev', 'icev']",0 days 00:09:39.613374936,1127.0260068187201,0 days 00:41:37.504732365,0 days 01:00:00
6,taxi,weekday,2018-01-01 10:15:00+01:00,6.070199897257799,250,28,"['bev', 'icev']",0 days 00:13:00.454272502,1517.5499743144499,0 days 00:33:44.264495329,0 days 01:00:00
7,taxi,weekday,2018-01-01 12:45:00+01:00,13.826815266047872,250,28,"['bev', 'icev']",0 days 00:29:37.733391348,3456.703816511968,0 days 00:39:26.394693674,0 days 01:00:00
8,taxi,weekday,2018-01-01 13:00:00+01:00,11.139395532333992,250,28,"['bev', 'icev']",0 days 00:23:52.207997013,2784.848883083498,0 days 00:32:26.080040619,0 days 01:00:00
9,taxi,weekday,2018-01-01 13:15:00+01:00,6.082087245831594,250,28,"['bev', 'icev']",0 days 00:13:01.982645893,1520.5218114578984,0 days 00:31:24.633855602,0 days 01:00:00
10,taxi,weekday,2018-01-01 13:30:00+01:00,3.1193548773272575,250,28,"['bev', 'icev']",0 days 00:06:41.059912798,779.8387193318143,0 days 02:35:23.136381808,0 days 01:00:00
11,taxi,weekday,2018-01-01 15:15:00+01:00,8.63291290086503,250,28,"['bev', 'icev']",0 days 00:18:29.945944396,2158.2282252162577,0 days 00:33:14.979968586,0 days 01:00:00
12,taxi,weekday,2018-01-01 17:45:00+01:00,8.130402634146677,250,28,"['bev', 'icev']",0 days 00:17:25.337481532,2032.6006585366692,0 days 01:19:29.067133278,0 days 01:00:00
13,goods,weekday,2018-01-02 05:00:00+01:00,6.029451739251568,300,22,"['bev', 'icev']",0 days 00:16:26.637557332,1808.8355217754704,0 days 00:59:30.580243965,0 days 01:00:00
14,taxi,weekday,2018-01-02 06:00:00+01:00,5.8327896225103775,250,28,"['bev', 'icev']",0 days 00:12:29.930094324,1458.1974056275944,0 days 00:31:12.705299137,0 days 01:00:00
15,goods,weekday,2018-01-02 06:00:00+01:00,5.598681301077935,300,22,"['bev', 'icev']",0 days 00:15:16.147849266,1679.6043903233806,0 days 01:06:02.867472363,0 days 01:00:00
16,goods,weekday,2018-01-02 06:45:00+01:00,5.199757466743858,300,22,"['bev', 'icev']",0 days 00:14:10.869403650,1559.9272400231573,0 days 00:30:08.998054048,0 days 01:00:00
17,taxi,weekday,2018-01-02 07:15:00+01:00,1.2260062447079099,250,28,"['bev', 'icev']",0 days 00:02:37.629374319,306.5015611769775,0 days 00:33:39.515052304,0 days 01:00:00
18,taxi,weekday,2018-01-02 09:30:00+01:00,7.059044588693728,250,28,"['bev', 'icev']",0 days 00:15:07.591447116,1764.761147173432,0 days 00:34:07.895439980,0 days 01:00:00
19,taxi,weekday,2018-01-02 10:30:00+01:00,3.2902099689712543,250,28,"['bev', 'icev']",0 days 00:07:03.026996011,822.5524922428135,0 days 00:57:52.521598040,0 days 01:00:00
20,taxi,weekday,2018-01-02 11:00:00+01:00,9.009217088247164,250,28,"['bev', 'icev']",0 days 00:19:18.327911347,2252.304272061791,0 days 01:13:39.606837661,0 days 01:00:00
21,taxi,weekday,2018-01-02 13:00:00+01:00,4.895526056344197,250,28,"['bev', 'icev']",0 days 00:10:29.424778672,1223.8815140860493,0 days 00:38:23.483161262,0 days 01:00:00
22,taxi,weekday,2018-01-02 13:15:00+01:00,3.742092168354033,250,28,"['bev', 'icev']",0 days 00:08:01.126135932,935.5230420885082,0 days 00:33:07.216956331,0 days 01:00:00
23,taxi,weekday,2018-01-02 14:30:00+01:00,5.02543179076452,250,28,"['bev', 'icev']",0 days 00:10:46.126944526,1256.35794769113,0 days 00:39:57.624061035,0 days 01:00:00
24,taxi,weekday,2018-01-02 15:30:00+01:00,5.085141077082388,250,28,"['bev', 'icev']",0 days 00:10:53.803852766,1271.285269270597,0 days 00:30:01.021837050,0 days 01:00:00
25,taxi,weekday,2018-01-02 16:00:00+01:00,4.338964410908779,250,28,"['bev', 'icev']",0 days 00:09:17.866852830,1084.7411027271946,0 days 00:31:38.699480622,0 days 01:00:00
26,goods,weekday,2018-01-03 03:00:00+01:00,5.118207749454628,300,22,"['bev', 'icev']",0 days 00:13:57.524904454,1535.4623248363885,0 days 00:30:04.701944599,0 days 01:00:00
27,taxi,weekday,2018-01-03 05:15:00+01:00,3.628096544271205,250,28,"['bev', 'icev']",0 days 00:07:46.469555691,907.0241360678014,0 days 00:39:59.895948250,0 days 01:00:00
28,goods,weekday,2018-01-03 05:45:00+01:00,3.5860015630045616,300,22,"['bev', 'icev']",0 days 00:09:46.800255765,1075.8004689013685,0 days 00:48:25.324869272,0 days 01:00:00
29,taxi,weekday,2018-01-03 08:15:00+01:00,3.1721252880155357,250,28,"['bev', 'icev']",0 days 00:06:47.844679888,793.0313220038839,0 days 00:33:28.357866460,0 days 01:00:00
30,goods,weekday,2018-01-03 08:45:00+01:00,3.052018856600668,300,22,"['bev', 'icev']",0 days 00:08:19.421267442,915.6056569802004,0 days 00:48:09.220014903,0 days 01:00:00
31,taxi,weekday,2018-01-03 11:00:00+01:00,10.702600731430422,250,28,"['bev', 'icev']",0 days 00:22:56.048665468,2675.6501828576056,0 days 00:38:28.365965851,0 days 01:00:00
32,taxi,weekday,2018-01-03 12:00:00+01:00,8.757827180050892,250,28,"['bev', 'icev']",0 days 00:18:46.006351722,2189.456795012723,0 days 00:42:46.742976608,0 days 01:00:00
33,taxi,weekday,2018-01-03 13:00:00+01:00,6.247249234544754,250,28,"['bev', 'icev']",0 days 00:13:23.217758727,1561.8123086361886,0 days 00:35:00.514097865,0 days 01:00:00
34,taxi,weekday,2018-01-03 13:15:00+01:00,7.17124980040306,250,28,"['bev', 'icev']",0 days 00:15:22.017831480,1792.8124501007649,0 days 00:33:55.752315015,0 days 01:00:00
35,taxi,weekday,2018-01-03 14:15:00+01:00,14.27016241513698,250,28,"['bev', 'icev']",0 days 00:30:34.735167658,3567.540603784245,0 days 00:55:51.313924855,0 days 01:00:00
36,goods,weekday,2018-01-04 02:00:00+01:00,22.17209522520099,300,22,"['bev', 'icev']",0 days 01:00:28.161036849,6651.628567560298,0 days 00:48:04.969045022,0 days 01:00:00
37,goods,weekday,2018-01-04 05:00:00+01:00,9.13935632567266,300,22,"['bev', 'icev']",0 days 00:24:55.531035111,2741.806897701798,0 days 00:30:28.952126499,0 days 01:00:00
38,taxi,weekday,2018-01-04 06:30:00+01:00,11.09309925985156,250,28,"['bev', 'icev']",0 days 00:23:46.255619122,2773.2748149628896,0 days 06:26:59.941504471,0 days 01:00:00
39,goods,weekday,2018-01-04 09:15:00+01:00,8.23182540865526,300,22,"['bev', 'icev']",0 days 00:22:27.025975963,2469.547622596578,0 days 00:41:48.701988495,0 days 01:00:00
40,taxi,weekday,2018-01-04 10:45:00+01:00,3.3651829462848295,250,28,"['bev', 'icev']",0 days 00:07:12.666378806,841.2957365712074,0 days 00:30:34.838795116,0 days 01:00:00
41,taxi,weekday,2018-01-04 11:15:00+01:00,4.41882782074648,250,28,"['bev', 'icev']",0 days 00:09:28.135005523,1104.70695518662,0 days 00:57:00.331984515,0 days 01:00:00
42,taxi,weekday,2018-01-04 11:45:00+01:00,7.804298555082716,250,28,"['bev', 'icev']",0 days 00:16:43.409814225,1951.074638770679,0 days 00:42:15.687215816,0 days 01:00:00
43,taxi,weekday,2018-01-04 12:15:00+01:00,4.8904004357066375,250,28,"['bev', 'icev']",0 days 00:10:28.765770304,1222.6001089266595,0 days 01:12:36.270814388,0 days 01:00:00
44,taxi,weekday,2018-01-04 12:30:00+01:00,16.23423200989455,250,28,"['bev', 'icev']",0 days 00:34:47.258401270,4058.5580024736378,0 days 00:30:55.156904701,0 days 01:00:00
45,taxi,weekday,2018-01-04 12:45:00+01:00,5.583023828226846,250,28,"['bev', 'icev']",0 days 00:11:57.817349343,1395.7559570567116,0 days 00:33:03.259364760,0 days 01:00:00
46,taxi,weekday,2018-01-04 13:00:00+01:00,8.08833585986267,250,28,"['bev', 'icev']",0 days 00:17:19.928896267,2022.0839649656677,0 days 00:31:54.872724918,0 days 01:00:00
47,taxi,weekday,2018-01-04 13:15:00+01:00,4.844880031218099,250,28,"['bev', 'icev']",0 days 00:10:22.913146869,1211.2200078045248,0 days 02:13:46.215438999,0 days 01:00:00
48,taxi,weekday,2018-01-04 13:45:00+01:00,7.999026640844278,250,28,"['bev', 'icev']",0 days 00:17:08.446282393,1999.7566602110694,0 days 00:30:05.684865879,0 days 01:00:00
49,taxi,weekday,2018-01-04 14:15:00+01:00,9.008036405271932,250,28,"['bev', 'icev']",0 days 00:19:18.176109250,2252.009101317983,0 days 01:51:16.330758181,0 days 01:00:00
50,taxi,weekday,2018-01-05 03:15:00+01:00,5.54329565830014,250,28,"['bev', 'icev']",0 days 00:11:52.709441780,1385.8239145750351,0 days 00:31:15.281994954,0 days 01:00:00
51,goods,weekday,2018-01-05 05:30:00+01:00,10.505252114479399,300,22,"['bev', 'icev']",0 days 00:28:39.041255096,3151.5756343438197,0 days 00:58:41.479669218,0 days 01:00:00
52,goods,weekday,2018-01-05 06:30:00+01:00,7.077739915862617,300,22,"['bev', 'icev']",0 days 00:19:18.175622595,2123.321974758785,0 days 00:34:42.798889138,0 days 01:00:00
53,taxi,weekday,2018-01-05 07:30:00+01:00,4.648553683378682,250,28,"['bev', 'icev']",0 days 00:09:57.671187861,1162.1384208446705,0 days 00:32:52.410293649,0 days 01:00:00
54,taxi,weekday,2018-01-05 11:30:00+01:00,4.353955499112896,250,28,"['bev', 'icev']",0 days 00:09:19.794278458,1088.488874778224,0 days 00:40:18.334107872,0 days 01:00:00
55,taxi,weekday,2018-01-05 11:45:00+01:00,4.893398963090939,250,28,"['bev', 'icev']",0 days 00:10:29.151295255,1223.3497407727348,0 days 00:48:23.253583726,0 days 01:00:00
56,taxi,weekday,2018-01-05 11:45:00+01:00,10.847883575488286,250,28,"['bev', 'icev']",0 days 00:23:14.727888276,2711.9708938720714,0 days 00:32:27.569133639,0 days 01:00:00
57,taxi,weekday,2018-01-05 12:30:00+01:00,3.2922295878530794,250,28,"['bev', 'icev']",0 days 00:07:03.286661296,823.0573969632699,0 days 00:52:12.931388248,0 days 01:00:00
58,taxi,weekday,2018-01-05 13:15:00+01:00,2.697496494792726,250,28,"['bev', 'icev']",0 days 00:05:46.820977900,674.3741236981815,0 days 01:12:48.009489627,0 days 01:00:00
59,taxi,weekday,2018-01-05 14:00:00+01:00,3.334181963694097,250,28,"['bev', 'icev']",0 days 00:07:08.680538190,833.5454909235243,0 days 00:46:39.080918258,0 days 01:00:00
60,goods,weekday,2018-01-05 14:45:00+01:00,4.415524520864666,300,22,"['bev', 'icev']",0 days 00:12:02.540376140,1324.6573562593996,0 days 00:32:23.459464528,0 days 01:00:00
61,taxi,weekday,2018-01-05 16:00:00+01:00,2.5812523949017367,250,28,"['bev', 'icev']",0 days 00:05:31.875307915,645.3130987254342,0 days 00:56:21.498461649,0 days 01:00:00
62,taxi,weekday,2018-01-05 16:30:00+01:00,6.55903277849562,250,28,"['bev', 'icev']",0 days 00:14:03.304214379,1639.758194623905,0 days 00:31:16.013439404,0 days 01:00:00
