,timeframe,usecase,time_req,energy_req,dtime_idle,dtime_active,dtime_patience
0,A,milling,2018-01-01 06:15:00+01:00,4063.7812583156174,0 days 00:13:58.497843756,0 days 05:25:06.150039913,0 days 01:00:00
1,A,powertool,2018-01-01 09:00:00+01:00,1059.959755671016,0 days 01:43:12.414245840,0 days 01:37:50.546339101,0 days 01:00:00
2,A,cooling_food,2018-01-01 08:45:00+01:00,2095.0912380057107,0 days 00:10:57.606224700,0 days 20:57:03.284568205,0 days 01:00:00
3,A,boat_fishing,2018-01-01 19:00:00+01:00,1427.903578354701,0 days 00:11:45.817734728,0 days 01:18:27.374434135,0 days 01:00:00
4,A,milling,2018-01-01 09:00:00+01:00,4346.507425958019,0 days 00:29:50.974478476,0 days 05:47:43.235644599,0 days 01:00:00
5,A,lighting_construction,2018-01-01 16:45:00+01:00,1961.9464078771473,0 days 05:44:29.724653644,0 days 04:40:16.683496089,0 days 01:00:00
6,A,household,2018-01-01 11:45:00+01:00,3004.2454398117275,1 days 06:54:12.767984967,12 days 12:25:28.358332222,0 days 01:00:00
7,A,evbs_fire,2018-01-02 13:00:00+01:00,107.09520697039957,0 days 00:39:14.110027624,0 days 00:05:50.493404630,0 days 01:00:00
8,A,boat_fishing,2018-01-02 17:15:00+01:00,534.0022919336285,0 days 00:34:11.484168722,0 days 00:29:20.447116263,0 days 01:00:00
9,A,boat_fishing,2018-01-02 18:45:00+01:00,1096.8242793706056,0 days 01:14:08.652361758,0 days 01:00:15.904217703,0 days 01:00:00
10,A,evbs_water,2018-01-02 05:45:00+01:00,661.212720689544,0 days 00:31:06.434487706,0 days 06:00:39.689040747,0 days 01:00:00
11,A,cooling_medical,2018-01-03 10:30:00+01:00,2668.2431156653824,0 days 00:21:59.784431266,2 days 05:21:53.504327908,0 days 01:00:00
12,A,lighting_search,2018-01-03 18:30:00+01:00,1896.589790204579,0 days 01:08:47.545862100,0 days 22:34:42.419580196,0 days 01:00:00
13,A,cooling_medical,2018-01-03 07:15:00+01:00,2103.5119621383883,0 days 00:40:53.234451026,1 days 18:04:12.861273964,0 days 01:00:00
14,A,household,2018-01-03 11:30:00+01:00,1210.3279840823047,1 days 15:25:14.481751458,5 days 01:01:58.074269628,0 days 01:00:00
15,A,milling,2018-01-04 07:30:00+01:00,6048.472152417187,0 days 00:21:13.985519421,0 days 08:03:52.666331601,0 days 01:00:00
16,A,welding,2018-01-04 09:45:00+01:00,2621.816991941454,0 days 00:09:13.159957384,0 days 06:33:16.352927474,0 days 01:00:00
17,A,milling,2018-01-04 06:15:00+01:00,5512.210240971753,0 days 02:11:16.959027033,0 days 07:20:58.609156664,0 days 01:00:00
18,A,milling,2018-01-04 07:45:00+01:00,4631.2869137608395,0 days 00:49:08.208474106,0 days 06:10:30.177186052,0 days 01:00:00
19,A,welding,2018-01-04 09:45:00+01:00,2216.2084737548985,0 days 00:43:15.197030158,0 days 05:32:25.876263793,0 days 01:00:00
20,A,cooling_food,2018-01-05 08:45:00+01:00,1793.921046232475,0 days 00:03:56.250751874,0 days 17:56:21.157664370,0 days 01:00:00
21,A,boat_fishing,2018-01-05 18:15:00+01:00,5030.334349438893,0 days 00:51:15.894455853,0 days 04:36:23.519833315,0 days 01:00:00
22,A,milling,2018-01-05 06:45:00+01:00,5172.173034544579,0 days 00:27:41.815750669,0 days 06:53:46.430565813,0 days 01:00:00
23,A,lighting_construction,2018-01-05 16:45:00+01:00,2404.400005905881,0 days 05:19:40.898218332,0 days 05:43:29.142907766,0 days 01:00:00
24,A,milling,2018-01-05 07:45:00+01:00,3996.4113871094146,0 days 03:59:19.141171443,0 days 05:19:42.774658125,0 days 01:00:00
25,A,household,2018-01-05 13:15:00+01:00,3132.1206078173122,0 days 17:26:22.023035293,13 days 01:12:43.418814231,0 days 01:00:00
26,A,evbs_fire,2018-01-06 11:30:00+01:00,210.86294117534686,0 days 00:12:27.953057818,0 days 00:11:30.096898393,0 days 01:00:00
27,A,evbs_fire,2018-01-06 11:30:00+01:00,434.8317656026319,0 days 00:10:38.339459583,0 days 00:23:43.085778334,0 days 01:00:00
28,A,powertool,2018-01-06 12:15:00+01:00,846.3958211853752,0 days 02:28:05.922170875,0 days 01:18:07.730701948,0 days 01:00:00
29,A,evbs_fire,2018-01-06 13:00:00+01:00,150.16952653019342,0 days 00:11:18.739147261,0 days 00:08:11.463905007,0 days 01:00:00
30,A,welding,2018-01-06 08:45:00+01:00,3634.043547136195,0 days 02:29:32.594161866,0 days 09:05:06.391924224,0 days 01:00:00
31,A,evbs_water,2018-01-06 09:30:00+01:00,486.8232023493522,0 days 00:10:54.035600210,0 days 04:25:32.395713250,0 days 01:00:00
32,A,household,2018-01-06 11:45:00+01:00,1315.4798316681108,0 days 18:09:38.028449548,5 days 11:32:52.739400519,0 days 01:00:00
33,A,lighting_construction,2018-01-06 17:00:00+01:00,1785.4060351382293,0 days 05:58:04.845742100,0 days 04:15:03.480301184,0 days 01:00:00
34,A,cooling_medical,2018-01-06 08:00:00+01:00,1701.254661732653,0 days 00:29:22.015089754,1 days 10:01:30.335644750,0 days 01:00:00
35,A,lighting_construction,2018-01-07 18:30:00+01:00,2950.7156047733038,0 days 06:14:22.193452330,0 days 07:01:31.848040912,0 days 01:00:00
36,A,cooling_medical,2018-01-07 09:00:00+01:00,2581.154162571935,0 days 00:12:09.468476305,2 days 03:37:23.099705180,0 days 01:00:00
37,A,milling,2018-01-07 07:00:00+01:00,4311.124900045418,0 days 00:21:52.379548164,0 days 05:44:53.399520218,0 days 01:00:00
38,A,powertool,2018-01-08 09:30:00+01:00,774.5444746076846,0 days 02:05:29.414457405,0 days 01:11:29.784782443,0 days 01:00:00
39,A,ceremony,2018-01-08 18:15:00+01:00,2876.637430362701,0 days 06:36:33.114550708,0 days 01:26:17.947374651,0 days 01:00:00
40,A,household,2018-01-08 14:00:00+01:00,984.3950736154018,1 days 06:00:51.279303254,4 days 02:26:22.226501544,0 days 01:00:00
41,A,household,2018-01-08 10:15:00+01:00,1047.5051319095996,0 days 15:59:41.017379730,4 days 08:45:01.847487456,0 days 01:00:00
42,A,milling,2018-01-08 07:15:00+01:00,5102.882677789321,0 days 00:07:59.068673371,0 days 06:48:13.836853389,0 days 01:00:00
43,A,evbs_water,2018-01-09 07:00:00+01:00,694.2615759717589,0 days 00:21:11.337007222,0 days 06:18:41.287940895,0 days 01:00:00
44,A,boat_fishing,2018-01-09 15:15:00+01:00,1704.250845920375,0 days 00:10:31.860425366,0 days 01:33:38.409382155,0 days 01:00:00
45,A,milling,2018-01-09 08:30:00+01:00,4350.746695066717,0 days 00:28:59.252856830,0 days 05:48:03.584136319,0 days 01:00:00
46,A,lighting_search,2018-01-09 20:45:00+01:00,1093.3079247069593,0 days 03:55:02.703735732,0 days 13:00:56.053916013,0 days 01:00:00
47,A,milling,2018-01-09 10:00:00+01:00,6099.366130045502,0 days 01:40:32.244367555,0 days 08:07:56.957424218,0 days 01:00:00
48,A,cooling_food,2018-01-09 07:00:00+01:00,2135.444116294035,0 days 00:14:39.237676972,0 days 21:21:15.988186584,0 days 01:00:00
49,A,household,2018-01-09 12:45:00+01:00,1167.034084913311,0 days 21:22:18.770993799,4 days 20:42:12.270568791,0 days 01:00:00
50,A,evbs_fire,2018-01-09 12:00:00+01:00,21.328288672686472,0 days 00:20:05.392746589,0 days 00:01:09.801672020,0 days 01:00:00
51,A,household,2018-01-09 12:45:00+01:00,639.4641631087469,1 days 06:29:54.758090706,2 days 15:56:47.098719150,0 days 01:00:00
52,A,cooling_food,2018-01-09 07:15:00+01:00,1432.2610101065661,0 days 00:20:12.760667253,0 days 14:19:21.396363837,0 days 01:00:00
53,A,boat_fishing,2018-01-09 17:00:00+01:00,3429.355502413167,0 days 00:22:49.773713574,0 days 03:08:25.567590372,0 days 01:00:00
54,A,evbs_fire,2018-01-10 12:15:00+01:00,1108.1546102757468,0 days 00:15:50.100316829,0 days 01:00:26.687815448,0 days 01:00:00
55,A,evbs_fire,2018-01-10 12:15:00+01:00,258.76556984565724,0 days 00:32:18.839620474,0 days 00:14:06.869137675,0 days 01:00:00
56,A,lighting_search,2018-01-10 18:15:00+01:00,1800.456903237827,0 days 01:38:19.284054252,0 days 21:26:02.438710191,0 days 01:00:00
57,A,household,2018-01-10 11:15:00+01:00,1367.4278233759676,0 days 10:34:42.379096393,5 days 16:44:34.016415349,0 days 01:00:00
58,A,lighting_construction,2018-01-11 18:45:00+01:00,2076.927056116477,0 days 05:38:24.474480781,0 days 04:56:42.231909570,0 days 01:00:00
59,A,household,2018-01-11 12:30:00+01:00,1782.3702374279335,0 days 08:31:03.544797918,7 days 10:14:13.285474054,0 days 01:00:00
60,A,cooling_medical,2018-01-11 06:45:00+01:00,2157.9097792659613,0 days 00:38:03.875941982,1 days 19:09:29.504107148,0 days 01:00:00
61,A,welding,2018-01-11 09:45:00+01:00,1893.4936851883729,0 days 00:43:17.115472833,0 days 04:44:01.443166695,0 days 01:00:00
62,A,cooling_medical,2018-01-11 07:45:00+01:00,2785.5165854015645,0 days 00:08:09.802557866,2 days 07:42:37.194148911,0 days 01:00:00
63,A,boat_fishing,2018-01-11 17:00:00+01:00,13863.866268772694,0 days 00:50:52.867339825,0 days 12:41:45.053633317,0 days 01:00:00
64,A,milling,2018-01-12 07:30:00+01:00,4175.230246458328,0 days 00:14:29.604865178,0 days 05:34:01.105182998,0 days 01:00:00
65,A,cooling_food,2018-01-12 09:00:00+01:00,1869.3666620908195,0 days 00:07:58.465755173,0 days 18:41:37.199835268,0 days 01:00:00
66,A,milling,2018-01-12 06:00:00+01:00,6480.677266037702,0 days 00:29:16.141569162,0 days 08:38:27.250876982,0 days 01:00:00
67,A,ceremony,2018-01-12 19:00:00+01:00,2002.6444346075334,0 days 06:03:30.743380346,0 days 01:00:04.759982294,0 days 01:00:00
68,A,lighting_search,2018-01-12 19:30:00+01:00,1961.7488968313583,0 days 00:27:30.438048848,0 days 23:21:14.952721345,0 days 01:00:00
69,A,lighting_search,2018-01-13 20:00:00+01:00,1892.2400743892304,0 days 01:25:46.678165158,0 days 22:31:36.003188110,0 days 01:00:00
70,A,lighting_construction,2018-01-13 19:15:00+01:00,1390.871121570148,0 days 06:14:08.195377722,0 days 03:18:41.752470600,0 days 01:00:00
71,A,milling,2018-01-13 08:30:00+01:00,6564.751762055865,0 days 00:13:38.722842559,0 days 08:45:10.808457868,0 days 01:00:00
72,A,cooling_food,2018-01-13 08:00:00+01:00,1330.1254568219115,0 days 00:23:42.630383486,0 days 13:18:04.516445588,0 days 01:00:00
73,A,boat_fishing,2018-01-13 17:15:00+01:00,2787.943990502065,0 days 00:15:15.457816677,0 days 02:33:11.024144514,0 days 01:00:00
74,A,cooling_medical,2018-01-14 09:15:00+01:00,1704.8531751834862,0 days 00:42:00.488718115,1 days 10:05:49.428613212,0 days 01:00:00
75,A,cooling_medical,2018-01-14 08:15:00+01:00,2338.990919382937,0 days 00:49:50.171064862,1 days 22:46:47.346195572,0 days 01:00:00
76,A,lighting_construction,2018-01-14 17:30:00+01:00,1654.323450826887,0 days 05:59:36.630857968,0 days 03:56:19.915292803,0 days 01:00:00
77,A,evbs_water,2018-01-14 07:45:00+01:00,615.5244132063432,0 days 00:13:56.012187838,0 days 05:35:44.435341298,0 days 01:00:00
78,A,welding,2018-01-14 08:45:00+01:00,2183.457029061993,0 days 00:28:36.017294700,0 days 05:27:31.113261558,0 days 01:00:00
79,A,household,2018-01-15 12:15:00+01:00,1089.4221345120588,1 days 04:29:37.021893633,4 days 12:56:31.968424341,0 days 01:00:00
80,A,cooling_food,2018-01-15 05:00:00+01:00,1996.8538765133032,0 days 02:13:11.577556473,0 days 19:58:06.739554478,0 days 01:00:00
81,A,lighting_search,2018-01-16 21:15:00+01:00,1294.2849272728095,0 days 00:51:22.511459448,0 days 15:24:29.354025978,0 days 01:00:00
82,A,milling,2018-01-16 08:45:00+01:00,6270.723016766608,0 days 00:10:04.209297826,0 days 08:21:39.470480478,0 days 01:00:00
83,A,lighting_construction,2018-01-16 17:45:00+01:00,1929.4653211669508,0 days 08:07:41.329077992,0 days 04:35:38.274181432,0 days 01:00:00
84,A,welding,2018-01-16 06:45:00+01:00,2315.086345062089,0 days 00:45:24.788392452,0 days 05:47:15.777105558,0 days 01:00:00
85,A,evbs_fire,2018-01-16 13:30:00+01:00,36.60305190383579,0 days 00:08:28.602493411,0 days 00:01:59.791806231,0 days 01:00:00
86,A,cooling_food,2018-01-16 09:00:00+01:00,2249.64715321843,0 days 00:02:46.318018858,0 days 22:29:47.297515862,0 days 01:00:00
87,A,cooling_food,2018-01-16 09:15:00+01:00,2242.7310060431478,0 days 00:24:17.112911522,0 days 22:25:38.316217551,0 days 01:00:00
88,A,welding,2018-01-16 08:15:00+01:00,1922.1715931054991,0 days 00:08:59.455124541,0 days 04:48:19.544337950,0 days 01:00:00
89,A,boat_fishing,2018-01-16 18:15:00+01:00,1708.2058139417466,0 days 00:18:31.482481334,0 days 01:33:51.447738268,0 days 01:00:00
90,A,evbs_fire,2018-01-16 11:30:00+01:00,604.9296731261152,0 days 00:14:28.886124832,0 days 00:32:59.769839320,0 days 01:00:00
91,A,cooling_food,2018-01-16 09:00:00+01:00,1425.4805982946841,0 days 00:29:13.892897040,0 days 14:15:17.301538609,0 days 01:00:00
92,A,evbs_water,2018-01-17 08:30:00+01:00,324.55499523125576,0 days 00:21:36.197938900,0 days 02:57:01.799843932,0 days 01:00:00
93,A,welding,2018-01-17 08:30:00+01:00,2788.9759859190467,0 days 00:14:41.440978032,0 days 06:58:20.783873272,0 days 01:00:00
94,A,powertool,2018-01-17 07:15:00+01:00,839.675702900921,0 days 02:02:41.938750111,0 days 01:17:30.511585298,0 days 01:00:00
95,A,milling,2018-01-17 08:00:00+01:00,5244.209340561776,0 days 00:14:16.245946068,0 days 06:59:32.204834696,0 days 01:00:00
96,A,cooling_medical,2018-01-17 08:00:00+01:00,1868.42303306267,0 days 00:07:36.938354401,1 days 13:22:06.458380510,0 days 01:00:00
97,A,lighting_search,2018-01-17 18:15:00+01:00,1997.246657648485,0 days 00:40:02.771915862,0 days 23:46:36.285327793,0 days 01:00:00
98,A,milling,2018-01-18 08:15:00+01:00,5309.50198153343,0 days 00:05:19.677723882,0 days 07:04:45.609511360,0 days 01:00:00
99,A,milling,2018-01-18 07:30:00+01:00,4111.713006339198,0 days 00:08:04.266953062,0 days 05:28:56.222430427,0 days 01:00:00
100,A,welding,2018-01-18 09:45:00+01:00,2318.887603600045,0 days 00:26:12.769257008,0 days 05:47:49.988432400,0 days 01:00:00
101,A,cooling_food,2018-01-18 07:00:00+01:00,2355.25045372724,0 days 00:05:09.992188356,0 days 23:33:09.016334179,0 days 01:00:00
102,A,cooling_food,2018-01-18 07:45:00+01:00,1892.4068274499052,0 days 00:11:24.458607556,0 days 18:55:26.645788196,0 days 01:00:00
103,A,cooling_food,2018-01-18 08:00:00+01:00,1264.4323509426497,0 days 00:30:56.056944805,0 days 12:38:39.564633933,0 days 01:00:00
104,A,household,2018-01-18 12:45:00+01:00,2872.260402569923,0 days 18:10:52.964587138,11 days 23:13:33.744925171,0 days 01:00:00
105,A,powertool,2018-01-18 09:15:00+01:00,392.76640547252975,0 days 01:44:02.221603040,0 days 00:36:15.321630308,0 days 01:00:00
106,A,milling,2018-01-18 07:45:00+01:00,5201.9166889538365,0 days 00:03:35.605443092,0 days 06:56:09.200106978,0 days 01:00:00
107,A,milling,2018-01-19 08:00:00+01:00,6055.693339565082,0 days 00:34:07.074540735,0 days 08:04:27.328029913,0 days 01:00:00
108,A,lighting_construction,2018-01-19 17:15:00+01:00,2030.1642629522557,0 days 07:18:34.265552342,0 days 04:50:01.407968163,0 days 01:00:00
109,A,powertool,2018-01-19 09:45:00+01:00,959.4953698208429,0 days 01:42:18.897956665,0 days 01:28:34.128202083,0 days 01:00:00
110,A,cooling_food,2018-01-19 08:15:00+01:00,1742.7517622375858,0 days 00:53:37.944086002,0 days 17:25:39.063440553,0 days 01:00:00
111,A,welding,2018-01-19 11:00:00+01:00,3085.274488694678,0 days 02:06:09.086519005,0 days 07:42:47.470398253,0 days 01:00:00
112,A,milling,2018-01-19 06:00:00+01:00,7561.973597212947,0 days 00:38:20.832655509,0 days 10:04:57.473266623,0 days 01:00:00
113,A,milling,2018-01-19 08:15:00+01:00,4952.152206332849,0 days 00:32:09.832379888,0 days 06:36:10.330590398,0 days 01:00:00
114,A,boat_fishing,2018-01-19 18:00:00+01:00,1986.342000522166,0 days 00:26:13.313162871,0 days 01:49:08.380221502,0 days 01:00:00
115,A,milling,2018-01-20 10:00:00+01:00,4662.752290376154,0 days 00:11:58.547231818,0 days 06:13:01.210993806,0 days 01:00:00
116,A,welding,2018-01-20 07:30:00+01:00,1665.9266517327596,0 days 00:17:33.374728309,0 days 04:09:53.339865595,0 days 01:00:00
117,A,lighting_construction,2018-01-20 17:30:00+01:00,1821.6644533363194,0 days 05:28:24.472965810,0 days 04:20:14.266742881,0 days 01:00:00
118,A,cooling_medical,2018-01-21 07:30:00+01:00,2445.6527600095037,0 days 01:06:51.542606844,2 days 00:54:46.998720684,0 days 01:00:00
119,A,household,2018-01-21 13:15:00+01:00,1080.2165704577449,1 days 06:07:19.469018420,4 days 12:01:17.965364786,0 days 01:00:00
120,A,evbs_water,2018-01-21 06:30:00+01:00,473.96384061346095,0 days 00:40:40.691222490,0 days 04:18:31.543874622,0 days 01:00:00
121,A,cooling_food,2018-01-21 08:00:00+01:00,2908.9241789854004,0 days 01:30:57.452689054,1 days 05:05:21.270443474,0 days 01:00:00
122,A,milling,2018-01-21 09:00:00+01:00,4701.375297620947,0 days 00:20:31.177019324,0 days 06:16:06.601428580,0 days 01:00:00
123,A,cooling_food,2018-01-21 05:15:00+01:00,2113.2399262056697,0 days 00:05:27.798978552,0 days 21:07:56.637343405,0 days 01:00:00
124,A,lighting_search,2018-01-21 21:15:00+01:00,2242.8528469880303,0 days 00:44:43.154405833,1 days 02:42:02.264870916,0 days 01:00:00
125,A,evbs_fire,2018-01-21 12:15:00+01:00,119.01208838438473,0 days 00:11:28.061632039,0 days 00:06:29.494107439,0 days 01:00:00
126,A,milling,2018-01-21 07:45:00+01:00,5239.798367826739,0 days 00:04:26.169211610,0 days 06:59:11.032165568,0 days 01:00:00
127,A,cooling_medical,2018-01-22 08:45:00+01:00,1488.2940937094138,0 days 00:27:18.610580728,1 days 05:45:57.174747076,0 days 01:00:00
128,A,evbs_fire,2018-01-22 12:15:00+01:00,234.90546816292604,0 days 00:46:01.665739250,0 days 00:12:48.781532170,0 days 01:00:00
129,A,cooling_food,2018-01-22 09:15:00+01:00,2142.725135675324,0 days 00:13:47.672837511,0 days 21:25:38.104884310,0 days 01:00:00
130,A,cooling_food,2018-01-22 07:15:00+01:00,2238.5953914329775,0 days 00:13:15.364738228,0 days 22:23:09.434091588,0 days 01:00:00
131,A,cooling_food,2018-01-22 09:00:00+01:00,1916.1289411259902,0 days 00:16:06.932006576,0 days 19:09:40.641880536,0 days 01:00:00
132,A,cooling_food,2018-01-22 06:30:00+01:00,2311.537907625483,0 days 00:30:21.530697465,0 days 23:06:55.364674518,0 days 01:00:00
133,A,household,2018-01-22 12:15:00+01:00,1619.7330480365679,0 days 23:40:28.773839344,6 days 17:58:23.897293165,0 days 01:00:00
134,A,cooling_food,2018-01-22 08:45:00+01:00,1156.8128760423863,0 days 00:17:08.869059736,0 days 11:34:05.263537526,0 days 01:00:00
135,A,household,2018-01-23 13:00:00+01:00,1177.088619326548,1 days 22:04:48.417008617,4 days 21:42:31.902957558,0 days 01:00:00
136,A,cooling_food,2018-01-23 07:00:00+01:00,1853.6036911945387,0 days 00:20:46.699802804,0 days 18:32:09.732883002,0 days 01:00:00
137,A,boat_fishing,2018-01-23 20:00:00+01:00,1232.1220407630105,0 days 00:10:50.372950566,0 days 01:07:41.940793725,0 days 01:00:00
138,A,welding,2018-01-23 10:30:00+01:00,2633.6577399012504,0 days 00:25:05.758081773,0 days 06:35:02.919659110,0 days 01:00:00
139,A,milling,2018-01-24 08:00:00+01:00,5176.761358514208,0 days 00:09:32.238011764,0 days 06:54:08.454520868,0 days 01:00:00
140,A,cooling_medical,2018-01-24 06:45:00+01:00,1510.4089443631954,0 days 00:10:51.603191094,1 days 06:12:29.443994150,0 days 01:00:00
141,A,powertool,2018-01-24 09:15:00+01:00,457.66586461403926,0 days 02:12:26.107935760,0 days 00:42:14.764788630,0 days 01:00:00
142,A,cooling_food,2018-01-24 08:45:00+01:00,1764.0028864159108,0 days 00:11:03.270763708,0 days 17:38:24.103910972,0 days 01:00:00
143,A,evbs_water,2018-01-24 09:30:00+01:00,649.523735602955,0 days 00:14:08.019011407,0 days 05:54:17.140437914,0 days 01:00:00
144,A,powertool,2018-01-24 09:15:00+01:00,700.3191146381665,0 days 02:38:35.676499419,0 days 01:04:38.690481072,0 days 01:00:00
145,A,lighting_search,2018-01-24 20:30:00+01:00,1330.745009756538,0 days 00:28:35.379239149,0 days 15:50:31.928989567,0 days 01:00:00
146,A,lighting_construction,2018-01-24 16:15:00+01:00,2221.275868718397,0 days 05:45:10.698409785,0 days 05:17:19.507446157,0 days 01:00:00
147,A,lighting_construction,2018-01-24 18:45:00+01:00,2016.6943356139443,0 days 06:43:45.161908503,0 days 04:48:05.951448118,0 days 01:00:00
148,A,milling,2018-01-24 07:30:00+01:00,3260.034130946282,0 days 00:15:11.013910581,0 days 04:20:48.163828542,0 days 01:00:00
