,,demand,time_req,time_req,time_req,time_req,time_req,time_req,energy,energy,power,idle,idle,idle,idle,patience
"","",lambda,weight1,mean1,std1,weight2,mean2,std2,mu,sigma,value,p0,a,c,scale,value
lighting_construction,day,1,0.5,18,1,0.5,18,1,7.6,0.3,420,0.22869955156950672,8.857844213069335,0.22166852119058322,4.933733828876624e-05,1
lighting_search,day,1,0.5,20,1,0.5,20,1,7.6,0.3,84,0.22869955156950672,8.857844213069335,0.22166852119058322,4.933733828876624e-05,1
cooling_medical,day,1,0.5,8,1,0.5,8,1,7.6,0.3,50,0.22869955156950672,8.857844213069335,0.22166852119058322,4.933733828876624e-05,1
cooling_food,day,3,0.5,8,1,0.5,8,1,7.6,0.3,100,0.22869955156950672,8.857844213069335,0.22166852119058322,4.933733828876624e-05,1
evbs_water,day,1,0.5,8,1,0.5,8,1,7.6,0.3,110,0.22869955156950672,8.857844213069335,0.22166852119058322,4.933733828876624e-05,1
evbs_fire,day,1,0.5,12,1,0.5,12,1,7.6,0.3,1100,0.22869955156950672,8.857844213069335,0.22166852119058322,4.933733828876624e-05,1
milling,day,3,0.5,8,1,0.5,8,1,7.6,0.3,750,0.22869955156950672,8.857844213069335,0.22166852119058322,4.933733828876624e-05,1
powertool,day,1,0.5,9,1,0.5,9,1,7.6,0.3,650,0.22869955156950672,8.857844213069335,0.22166852119058322,4.933733828876624e-05,1
welding,day,2,0.5,9,1,0.5,9,1,7.6,0.3,400,0.22869955156950672,8.857844213069335,0.22166852119058322,4.933733828876624e-05,1
ceremony,day,0.5,0.5,18,1,0.5,18,1,7.6,0.3,2000,0.22869955156950672,8.857844213069335,0.22166852119058322,4.933733828876624e-05,1
household,day,2,0.5,12,1,0.5,12,1,7.6,0.3,10,0.22869955156950672,8.857844213069335,0.22166852119058322,4.933733828876624e-05,1
boat_fishing,day,2,0.5,18,1,0.5,18,1,7.6,0.3,1092,0.22869955156950672,8.857844213069335,0.22166852119058322,4.933733828876624e-05,1
